Meas. No.,x_mm,current_mA
1,0.5,2.736
2,1,2.741
3,1.5,2.745
4,2,2.749
5,3,2.761
6,4,2.78
7,5,2.807
8,6,2.856
9,7,3.008
10,8,4.31
11,8.5,5.094
12,9,5.883
13,9.5,6.68
14,10,7.477
15,10.5,8.278
16,11,9.081
17,11.5,9.885
18,12,10.691
19,12.5,11.495
20,13,12.301
21,13.5,13.107
22,14,13.917
23,14.5,14.725
24,15,15.536
25,15.5,16.345
26,16,17.153
27,16.5,17.959
28,17,18.761
29,17.5,19.559
30,18,20.351
31,18.14,20.57
32,18,20.351
33,17.5,19.561
34,17,18.765
35,16.5,17.963
36,16,17.156
37,15.5,16.349
38,15,15.541
39,14.5,14.731
40,14,13.922
41,13.5,13.114
42,13,12.307
43,12.5,11.501
44,12,10.696
45,11.5,9.891
46,11,9.087
47,10.5,8.284
48,10,7.483
49,9.5,6.685
50,9,5.89
51,8.5,5.099
52,8,4.316
53,7.5,3.542
54,7,3.023
55,6.5,2.915
56,6,2.867
